m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
f o N g o r a	Real
f o n y a n a	Real
f o n y e dz a	Real
f o n y e r a	Real
f o n y o k a	Real
f o n y o N g o r a	Real
f o n y o r a	Real
f o o n o dz a	Real
f o o n o k a	Real
f o o n o r a	Real
f o o n y o dz a	Real
f o o n y o k a	Real
f o o n y o r a	Real
f o r a	Real
f o r o m a	Real
f o r o t o t o k a	Real
f o sh o k a	Real
f o sh o r a	Real
f o t a	Real
f o t o t o dz a	Real
f o t o t o dz a	Real
f o t o t o k a	Real
f o t o t o k a	Real
f o t y o k a	Real
f o v a	Real
f o v e dz a	Real
f o v e k a	Real
f o v e r a	Real
f o v o v a	Real
f o v o v o dz a	Real
f o v o v o k a	Real
f o y a	Real
f o z e dz a	Real
f o z o k a	Real
f o z o r a	Real
f u b a a	Real
f u d i g a	Real
f u d i g i dz a	Real
f u d i g i k a	Real
f u d i g i r a	Real
f u d u g u dz a	Real
f u d u g u k a	Real
f u d u g u r a	Real
f u d y u dz a	Real
f u d y u k a	Real
f u d y u r a	Real
f u dz a	Real
f u dz i k a	Real
f u f u dz a	Real
f u f u dz a	Real
f u f u dz i k a	Real
f u f u dz i r a	Real
f u f u m a	Real
f u f u m u dz a	Real
f u f u m u k a	Real
f u f u m u r a	Real
f u f u m u s a	Real
f u f u m u t s a	Real
f u f u n a	Real
f u f u n h a	Real
f u f u n u dz a	Real
f u f u n u k a	Real
f u f u n u r a	Real
f u f u r i dz a	Real
f u f u t i dz a	Real
f u g a d a r a	Real
f u g i dz a	Real
f u g i r i dz a	Real
f u g u d u k a	Real
f u g u d u r a	Real
f u g u r a	Real
f u h w a	Real
f u h w i r a	Real
f u k a	Real
f u k a	Real
f u k a i dz a	Real
f u k a i r a	Real
f u k a m i r a	Real
f u k a n y i r a	Real
f u k a t a	Real
f u k u dz a	Real
f u k u dz a	Real
f u k u dz i k a	Real
f u k u dz i r a	Real
f u k u m b a	Real
f u k u m u dz a	Real
f u k u n u dz a	Real
f u k u n u k a	Real
f u k u s a	Real
f u k u sh u k a	Real
f u k u s u k a	Real
f u k u t a	Real
f u m a	Real
f u m a	Real
f u m a n a	Real
f u m b a	Real
f u m b a	Real
f u m b a t a	Real
f u m b i r a	Real
f u m b u k a	Real
f u m b u n u r a	Real
f u m b u n y u r a	Real
f u m b u r a	Real
f u m b u r u dz a	Real
f u m i dz a	Real
f u m u dz a	Real
f u m u k a	Real
f u m u k a	Real
f u m u r a	Real
f u m u t s a	Real
f u m v u m a dz a	Real
f u m v u m a r a	Real
f u n a	Real
f u n a i dz a	Real
f u n d a	Real
f u n d a	Real
f u n d a i dz a	Real
f u n d a i k a	Real
f u n d i k a	Real
f u n d i k i dz a	Real
f u n d i k i r a	Real
f u n d i r a	Real
f u n d i s i r a	Real
f u n d i t s i r a	Real
f u n d u m w a r a	Real
f u n d u m w i k a	Real
f u n d u n d i dz a	Real
f u n d u n d i k a	Real
f u n d u n d u k a	Real
f u n d u n u dz a	Real
f u n d u n u r a	Real
f u n d u n y u r a	Real
f u n d u r a	Real
f u n d u r u k a	Real
f u n d y u dz a	Real
f u n d y u k a	Real
f u n d y u m u r a	Real
f u n d y u r a	Real
f u N g a	Real
f u N g a i dz a	Real
f u N g a t a	Real
f u N g i r a	Real
f u N g i s a	Real
f u N g u r a	Real
f u n h a i dz a	Real
f u n h i dz a	Real
f u n h i k a	Real
f u n h i r a	Real
f u n h u dz a	Real
f u n h u g a dz a	Real
f u n h u g u k a	Real
f u n h u g u r a	Real
f u n h u r a	Real
f u n i dz a	Real
f u n j i r a	Real
f u n u r a	Real
f u n u u dz a	Real
f u n u u k a	Real
f u n u u r a	Real
f u n y a	Real
f u n y u k a	Real
f u n y u N g u dz a	Real
f u n z a	Real
f u n z i k a	Real
f u p a	Real
f u r a	Real
f u r a m a	Real
f u r a t i dz a	Real
f u r a t i r a	Real
f u r i dz a	Real
f u r i r a	Real
f u r i r i dz a	Real
f u r i r i k a	Real
f u r u dz a	Real
f u r u f u sh a	Real
f u r u f u t i k a	Real
f u r u k a	Real
f u r u r a	Real
f u r u t s a	Real
f u r u v a r a	Real
f u s a	Real
f u t u t a	Real
f u t u t i k a	Real
f u t u t u k a	Real
f u t y u n u dz a	Real
f u t y u n u k a	Real
f u t y u r a	Real
f u u dz a	Real
f u u k a	Real
f u zh a	Real
f u zh a n u k a	Real
f u zh a n u r a	Real
f u zh u k a	Real
g a a	Real
g a b a d i k a	Real
g a b a r i r a	Real
g a bh a i r a	Real
g a bh u k a	Real
g a bh u r a	Real
g a bh u r a	Real
g a b i d i dz a	Real
g a ch a	Real
g a ch a a r a	Real
g a ch a u k a	Real
g a ch i dz a	Real
g a dh a k a	Real
g a d u k a	Real
g a d u m u k a	Real
g a d u m u r a	Real
g a d u r u dz a	Real
g a dz i k a	Real
g a g u dz a	Real
g a g u k a	Real
g a g u r a	Real
g a h a n a	Real
g a h a n i r a	Real
g a k a	Real
g a k a	Real
g a m a ch i dz a	Real
g a m a ch i r a	Real
g a m a r a	Real
g a m a r a	Real
g a m b a	Real
g a m b a n a	Real
g a m b i n a	Real
g a m b i s i r a	Real
g a n a n i dz a	Real
g a n a r a	Real
g a n d a	Real
g a N g a r a dz a	Real
g a N g a r a dz a	Real
g a N g a r i dz a	Real
g a N g a r i dz a	Real
g a N g a v a t i dz a	Real
g a N g a zh a	Real
g a n h a	Real
g a n h a k a	Real
g a n h i r a	Real
g a n h u r a	Real
g a n u k a	Real
g a n y a	Real
g a n y u r a	Real
g a n z a	Real
g a p i z a	Real
g a r a g a d i k a	Real
g a r i r a	Real
g a sh a	Real
g a s u dz a	Real
g a t s a	Real
g a t s a i r a	Real
g a t s a n i r a	Real
g a t y a i r a	Real
g a vh u r a	Real
g a z a	Real
g a zh a	Real
g a zh u dz a	Real
g a zh u r a	Real
g e b u dz a	Real
g e d e d u dz a	Real
g e d e d u k a	Real
g e d e d u r a	Real
g e d e g e d e k a	Real
g e d e g e dz a	Real
g e g e d u dz a	Real
g e g e d u k a	Real
g e g e d u r a	Real
g e g e dz a	Real
g e g e r e dz a	Real
g e g e r e dz a	Real
g e N g a	Real
g e r a	Real
g e r e d u dz a	Real
g e r e d u k a	Real
g e r e d u r a	Real
g e v e r a	Real
g i dh i m a	Real
g i d i dz a	Real
g i d i dz a	Real
g i d i g i dz a	Real
g i y a	Real
g i zh u r a	Real
g o b a	Real
g o b e r a	Real
g o d o b o dz a	Real
g o d o b o r a	Real
g o d o dz a	Real
g o d o k a	Real
g o dz a	Real
g o dz o N g a	Real
g o f a	Real
g o g a	Real
g o g o b a r a	Real
g o g o d a	Real
g o g o d e r a	Real
g o g o dz a	Real
g o g o m a	Real
g o g o m e r a	Real
g o g o n a	Real
g o g o n e r a	Real
g o g o v a r a	Real
g o j o m a	Real
g o j o t e dz a	Real
g o j o t e k a	Real
g o k a	Real
g o k o m a	Real
g o k o v a r a	Real
g o k o y a	Real
g o m a	Real
g o m a dz a	Real
g o m a r a	Real
g o m a z a	Real
g o m b a	Real
g o m b a	Real
g o m b e dz a	Real
g o m b e dz e k a	Real
g o m b e dz e r a	Real
g o m b e r a	Real
g o m e r a	Real
g o m o r a	Real
g o m o r a	Real
g o n a	Real
g o n a n a	Real
g o n d e dz e r a	Real
g o n d o dz a	Real
g o n d o r o dz a	Real
g o n d o r o k a	Real
g o n d o zh o r a	Real
g o N g o n d e dz a	Real
g o N g o n d e k a	Real
g o N g o n d o r o dz a	Real
g o n j a	Real
g o n j o r o dz a	Real
g o n j o r o k a	Real
g o n y o dz a	Real
g o n y o r a	Real
g o o r a	Real
g o p a	Real
g o p a	Real
g o r o k o dz a	Real
g o r o m o r a	Real
g o r o n o r a	Real
g o s o r a	Real
g o t a	Real
g o v a	Real
g o vh a	Real
g o v o d e dz a	Real
g o v o d e k a	Real
g o v o d e r a	Real
g o w a	Real
g o zh a	Real
g u b u n a	Real
g u dh u r a	Real
g u d u b u k a	Real
g u d u b u r a	Real
g u d u b u r a	Real
g u d u dz a	Real
g u d u g u dz a	Real
g u d u m a	Real
g u d u m u dz a	Real
g u d u m u k a	Real
g u d u m u r a	Real
g u d u r a	Real
g u d u z a	Real
g u d y a i dz a	Real
g u d y u k a	Real
g u d y u r a	Real
g u g a dz a	Real
g u g u d y u dz a	Real
g u g u n u k a	Real
g u g u r u dz a	Real
g u g u r u k a	Real
g u m b a t i r a	Real
g u m i n a	Real
g u m i s a	Real
g u m i s a	Real
g u m u dz a	Real
g u m u r a	Real
g u m w a i dz a	Real
g u m w a i r a	Real
g u n d a	Real
g u n d a	Real
g u n d u m a dz a	Real
g u n d u m u dz a	Real
g u r u dh u dh i k a	Real
g u r u d u d i dz a	Real
g u r u g u d y a dz a	Real
g u r u k u t a	Real
g u r u m a	Real
g u r u m u r a	Real
g u r u n b a	Real
g u r u n u k a	Real
g u r u z i r a	Real
g u r u z u r a	Real
g u s u r a	Real
g u t s u r a	Real
g u t s w a g a t s w a	Real
g u u dz a	Real
g u u m u dz a	Real
g u u m u k a	Real
g u u m u r a	Real
g u u n a	Real
g u u r a	Real
g u u r i r a	Real
g u v a r a	Real
g u w a	Real
g u y a k u y a	Real
g w a b a i r a	Real
g w a bh u k a	Real
g w a bh u r a	Real
g w a b u dz a	Real
g w a b u k a	Real
g w a bv u dz a	Real
g w a bv u k a	Real
g w a bv u r a	Real
g w a ch a r i dz a	Real
g w a ch a r i k a	Real
g w a ch a t i dz a	Real
g w a d a	Real
g w a d a b u dz a	Real
g w a d a b u k a	Real
g w a d a b u r a	Real
g w a d a bv u k a	Real
g w a d a g w a dz a	Real
g w a d a i r a	Real
g w a d a m a	Real
g w a d a t a	Real
g w a d i dz a	Real
g w a d i k a	Real
g w a d w a	Real
g w a g w a d a	Real
g w a g w a dz a	Real
g w a j a n u dz a	Real
g w a j a n u r a	Real
g w a j a r i dz a	Real
g w a j a t i k a	Real
g w a j u dz a	Real
g w a j u r a	Real
g w a k w a i dz a	Real
g w a k w a i k a	Real
g w a m a	Real
g w a m b a i k a	Real
g w a m b a i r a	Real
g w a m u dz a	Real
g w a m u k a	Real
g w a n b u dz a	Real
g w a n d a	Real
g w a N g u dz a	Real
g w a N g u k a	Real
g w a n z u dz a	Real
g w a r a d i k a	Real
g w a r a sh a	Real
g w a r a u r a	Real
g w a t a i r a	Real
g w a u z u k a	Real
g w a v a	Real
g w a z a	Real
g w e b e d e k a	Real
g w e b u dz a	Real
g w e b u r a	Real
g w e d a	Real
g w e d a i r a	Real
g w e d a m a	Real
g w e d e b a r a	Real
g w e d e b e dz a	Real
g w e d e b u dz a	Real
g w e d e dz a	Real
g w e d e dz e k a	Real
g w e d e g e dz a	Real
g w e d e g w e dz a	Real
g w e d e k a	Real
g w e d e m u dz a	Real
g w e d e m u k a	Real
g w e d e m u r a	Real
g w e d e r e dz a	Real
g w e d e r e dz a	Real
g w e d u dz a	Real
g w e dzv e d e k a	Real
g w e dzv e k a	Real
g w e j e n u k a	Real
g w e j u k a	Real
g w e j u r a	Real
g w e m a	Real
g w e n d e r e k a	Real
g w e n d e r e t s a	Real
g w e N g w e r e t s a	Real
g w e N g w e zh a	Real
g w e n j e r e dz a	Real
g w e n j e r e k a	Real
g w e n zv a i r a	Real
g w e r e b s u k a	Real
g w e r e bv u r a	Real
g w e r e bv u r a	Real
g w e r e d e dz a	Real
g w e r e g w e d e k a	Real
g w e r e n u r a	Real
g w e r e z a r a	Real
g w e t a	Real
g w e t a i dz a	Real
g w e t a i k a	Real
g w e t s a	Real
g w e v a	Real
g w i b u dz a	Real
g w i b u k a	Real
g w i d i m a	Real
g w i k u r a	Real
g w i m b u k a	Real
g w i m b u r a	Real
g w i n d i r i k a	Real
g w i n h a	Real
g w i n y a	Real
g w i n y a	Real
g w i n y u dz a	Real
g w i n y u r a	Real
g w i pf u dz a	Real
g w i pf u k a	Real
g w i pf u r a	Real
g w i r i k w i z a	Real
g w i sh a	Real
g w i sh u dz a	Real
g w i sh u k a	Real
g w i z a	Real
h a b a i r a	Real
h a ch i dz a	Real
h a ch i k a	Real
h a ch u k a	Real
h a f u k a	Real
h a f u r a	Real
h a i r a	Real
h a k a	Real
h a k i ch a	Real
h a m i r a	Real
h a n d a i dz a	Real
h a n d a i r a	Real
h a p u k a	Real
h a p u r a	Real
h a r a d a d a	Real
h a r u k a	Real
h a s a i r a	Real
h a s a k a	Real
h a sh u k a	Real
h a sh u dz a	Real
h a s u dz a	Real
h a s u r a	Real
h a t a	Real
h a t a i dz a	Real
h a t a i k a	Real
h a t u r a	Real
h a u r a	Real
h a v a i r a	Real
h a v a i r a	Real
h a z u dz a	Real
h a z u r a	Real
h e ch u dz a	Real
h e ch u k a	Real
h e d b u s a	Real
h e dh a k a	Real
h e p u k a	Real
h e sv a r a	Real
h e sv u k a	Real
h e t e k a	Real
h e t s e m u dz a	Real
h e t s e m u r a	Real
h e t u dz a	Real
h e t u r a	Real
h o b o dz a	Real
h o b o k a	Real
h o b o r a	Real
h o ch a	Real
h o h o dz a	Real
h o h o r a	Real
h o m b a	Real
h o n a	Real
h o n y a	Real
h o r a	Real
h u b u m u r a	Real
h u b u n i dz a	Real
h u b u r a	Real
h u g a dz a	Real
h u h u m a k a	Real
h u h u m u dz a	Real
h u h u r u dz a	Real
h u k u r a	Real
h u m b a t i r a	Real
h u m b u dz a	Real
h u m b u k a	Real
h u m h a i r a	Real
h u m h i n h i dz a	Real
h u n a	Real
h u n a	Real
h u n d u n d a	Real
h u n d u n d i dz a	Real
h u n d u n d i k a	Real
h u N g u m a	Real
h u r a	Real
h u sh u m a	Real
h u t a	Real
h u t u dz a	Real
h u v a i r a	Real
h u w u r u dz a	Real
h u w u r u k a	Real
h v i r a	Real
h v i z a	Real
h v i zh i m a dz a	Real
h v o j o N g a	Real
h w a ch u r a	Real
h w a h w a d a	Real
h w a h w a t a	Real
h w a i r a	Real
h w a i w a t a t a	Real
h w a m u r a	Real
h w a n a	Real
h w a n d a	Real
h w a n d a	Real
h w a n d a r i k a	Real
h w a n d i r a	Real
h w a n h a k a	Real
h w a n h u dz a	Real
h w a n h u r a	Real
h w a n z a	Real
h w a p u r a	Real
h w a r a	Real
h w a r a d a d i dz a	Real
h w a r a d a d i k a	Real
h w a r a h w a sh u k a	Real
h w a r a m a	Real
h w a r a r a	Real
h w a r a r a	Real
h w a r a r a dz a	Real
h w a sh u r a	Real
h w a t a	Real
h w a t a i r a	Real
h w a t a t a	Real
h w a t s a	Real
h w a u r a	Real
h w a zh a	Real
h w a zh a k a	Real
h w a zh a m a	Real
h w a zh a r a	Real
h w a zh i k a	Real
h w e h w e dz a	Real
h w e h w e r e dz a	Real
h w e N g a	Real
h w e N g e z e r a	Real
h w e N g e z u dz a	Real
h w e N g e z u k a	Real
h w e N g e z u r a	Real
h w e sh u dz a	Real
h w e sh u dz a	Real
h w e sh u k a	Real
h w e sh u k a	Real
h w e sh u r a	Real
h w e sh u r a	Real
h w e t a	Real
h w e t a	Real
h w e t u r a	Real
h w e z u k a	Real
h w i g a	Real
h w i h w i dz a	Real
h w i h w i N g a	Real
h w i h w i n y a	Real
h w i h w i n y a r a	Real
h w i h w i n y a t s a	Real
h w i h w i n y i k a	Real
h w i m b u r a	Real
h w i n a	Real
h w i N g a	Real
h w i N g a	Real
h w i n y a	Real
h w i p u dz a	Real
h w i p u k a	Real
h w i r i b u r a	Real
h w i r i dz a	Real
h w i r i dz i r a	Real
h w i r i h w i s i k a	Real
h w i r i r a	Real
h w i r u b u r a	Real
h w i r u dz a	Real
h w i r u dz u r a	Real
h w i r u k a	Real
h w i r u r a	Real
h w i sh u r a	Real
h w i t a	Real
h w i t a	Real
h w i t i k w i dz a	Real
h w i t i k w i t s a	Real
h w i t i t i k a	Real
h w i t u dz a	Real
h w i t u k a	Real
h w u h w u dz a	Real
h w u n a i r a	Real
h w u n a u dz a	Real
i dz a	Real
i dz a	Real
i dz i r i r a	Real
i dz i s i r a	Real
i g i r a	Real
i k a	Real
i m a	Real
i n d i dz a n a	Real
i n d i r i k a	Real
i N g i dz a	Real
i n h a v a i r a	Real
i n z a n a	Real
i n zv a	Real
i r a	Real
i r i k a	Real
i r i m a	Real
i s a	Real
i t a	Real
i t i k a r a	Real
i w a r a	Real
j a bh u dz a	Real
j a bh u r a	Real
j a b s u r a	Real
j a b u k a	Real
j a b u k a	Real
j a b u r a	Real
j a b u r a	Real
j a bv a n y u r a	Real
j a d a b u r a	Real
j a d a g a	Real
j a d a g a r a	Real
j a d u dz a	Real
j a d u k a	Real
j a d u r a	Real
j a g a d a	Real
j a g a d u dz a	Real
j a g a d u r a	Real
j a g a i dz a	Real
j a g a i r a	Real
j a h a	Real
j a i dz a	Real
j a i r a	Real
j a j a d a	Real
j a j a d u dz a	Real
j a j a d u k a	Real
j a j a d u r a	Real
j a j a dz a	Real
j a j a r i dz a	Real
j a j a r i k a	Real
j a k a ch a	Real
j a k a i dz a	Real
j a k a i r a	Real
j a k a n y a	Real
j a k u k a	Real
j a k w a ch a	Real
j a m b a	Real
j a m u r a	Real
j a n d u r a	Real
j a n h i dz a	Real
j a n h u k a	Real
j a n j a r i dz a	Real
j a n j a r i k a	Real
j a n y a N g i dz a	Real
j a n y a N g u r a	Real
j a n y a u r a	Real
j a n y u r a	Real
j a r a	Real
j a t a	Real
j a t a N g u k a	Real
j a t a N g u r a	Real
j a t u k a	Real
j a t u r a	Real
j a u r a	Real
j a vh u r a	Real
j e e dz a	Real
j e g a	Real
j e j e d a	Real
j e j e d u k a	Real
j e j e d u r a	Real
j e j e r e dz a	Real
j e k a	Real
j e k e n y e dz a	Real
j e k e n y e k a	Real
j e k e n y u dz a	Real
j e k e n y u k a	Real
j e k e r a	Real
j e m a	Real
j e n a k a	Real
j e N g a	Real
j e n y a	Real
j e n y a	Real
j e n y a r a	Real
j e n y e a dz a	Real
j e n y e N g a r a	Real
j e n y e u r a	Real
j e n y u k a	Real
j e n y u r a	Real
j e r e r e k a	Real
j e t u dz a	Real
j e t u k a	Real
j e t u r a	Real
j e u k i dz a	Real
j e z a	Real
j i bv i r i dz a	Real
j i ch a	Real
j i ch i r i dz a	Real
j i g i m u dz a	Real
j i g i m u r a	Real
j i j a	Real
j i k i ch i dz a	Real
j i k i t i dz a	Real
j i k i t i r a	Real
j i m b u r a	Real
j i N g i ch i dz a	Real
j i N g i ch i r a	Real
j i n y a	Real
j i n y u r a	Real
j i r i ch i t a	Real
j i t a	Real
j o b o dz a	Real
j o b o k a	Real
j o b w a	Real
j o m b a	Real
j o N g w a i r a	Real
j o o dz a	Real
j o o k a	Real
j o o n a	Real
j o o r a	Real
j o r e r a	Real
j u b a	Real
j u bv i dz a	Real
j u bv i k a	Real
j u bv u dz a	Real
j u bv u k a	Real
j u bv u r a	Real
j u g u dz a	Real
j u g u j a	Real
j u g u k a	Real
j u g u r a	Real
j u j a	Real
j u j u dz a	Real
j u j u k a	Real
j u k a	Real
j u m b a	Real
j u n j i r w a	Real
j u r a	Real
j u r a k a	Real
j u r u j a	Real
j u r u k a	Real
j u r u r u dz a	Real
j u sh u r a	Real
k a b a d i k a	Real
k a b a dz a	Real
k a b a k a	Real
k a b i d a	Real
k a b i r a	Real
k a b s a u k a	Real
k a b u d u k a	Real
k a b u r a	Real
k a bv a k a	Real
k a ch a u r a	Real
k a ch i dz a	Real
k a ch i r a	Real
k a ch i r a	Real
k a d a b u dz a	Real
k a d a b u k a	Real
k a d a b u r a	Real
k a d a s a	Real
k a d y a i r a	Real
k a d y a r i k a	Real
k a dz a	Real
k a dzv i k a	Real
k a f u k a	Real
k a g a i r a	Real
k a k a	Real
k a k a ch u r a	Real
k a k a n u k a	Real
k a k a n u r a	Real
k a k a n y a dz a	Real
k a k a n y a r a	Real
k a k a n y i k a	Real
k a k a n y u r a	Real
k a k a r a dz a	Real
k a k a r i k a	Real
k a k a r i t s a	Real
k a k a sh a r a	Real
k a k a sh a k a	Real
k a k a sh u dz a	Real
k a k a sh u r a	Real
k a k a t a	Real
k a k a t i dz a	Real
k a k a t i dz a	Real
k a k a t y u dz a	Real
k a k a t y u k a	Real
k a k a u r a	Real
k a k a y i k a	Real
k a k a y i r a	Real
k a k a zh i dz a	Real
k a k a zh i k a	Real
k a m a	Real
k a m a n i s a	Real
k a m a n y a k a m a n y a	Real
k a m a n y i k a	Real
k a m b a	Real
k a m b a i dz a	Real
k a m b a n u r a	Real
k a m b a sh i k a	Real
k a m b i r a	Real
k a m b u r a	Real
k a m b u sh u k a	Real
k a m h i n a	Real
k a m u k a	Real
k a m u k i r a	Real
k a m u r a	Real
k a n a	Real
k a n a i r a	Real
k a n a n a	Real
k a n a N g a dz a	Real
k a n a N g a n a	Real
k a n a N g a r a	Real
k a n a N g u r a	Real
k a n a r a dz a	Real
k a n a r a r a	Real
k a n b a i r a	Real
k a n b a m a	Real
k a n b a m a dz a	Real
k a n b a m a r a	Real
k a n b a m i s a	Real
k a n d a	Real
k a n d a	Real
k a n d i r a	Real
k a N g a i dz a	Real
k a N g a i r a	Real
k a N g a i r a	Real
k a N g a m w a	Real
k a N g a n d i k a	Real
k a N g a n i s a	Real
k a N g a n y a dz a	Real
k a N g a n y a r a	Real
k a N g a r i dz a	Real
k a N g a r i k a	Real
k a N g a r i k a	Real
k a N g a u dz a	Real
k a N g a v i dz a	Real
k a N g a v i r a	Real
k a N g u dz a	Real
k a N g u r a	Real
k a n h a	Real
k a n h a u r a	Real
k a n i k a	Real
k a n i k i dz a	Real
k a n i k i r a	Real
k a n i N g w i r i dz a	Real
k a n j a	Real
k a n u dz a	Real
k a n u k a	Real
k a n u s a	Real
k a n u t s a	Real
k a n y a	Real
k a n y a i dz a	Real
k a n y a N g a	Real
k a n y a N g a dz a	Real
k a n y a t a	Real
k a n y a t u r a	Real
k a n y a u r a	Real
k a n zv i k a	Real
k a p a	Real
k a p a dz a	Real
k a p a i r a	Real
k a pf u k a	Real
k a p i t a	Real
k a p u dz a	Real
k a p u dz a	Real
k a p u k a	Real
k a p u k a	Real
k a p u r a	Real
k a p u r a	Real
k a r a	Real
k a r a	Real
k a r a k a ch a	Real
k a r a k a dz a	Real
k a r a k a t a	Real
k a r a k a t i k a	Real
k a r a n a	Real
k a r a n j a n j i dz a	Real
k a r a r a	Real
k a r a r i r a	Real
k a r a r i r a n a	Real
k a r a t i r a	Real
k a r a u k a	Real
k a r a u r a	Real
k a r i k a	Real
k a r i k i r a	Real
k a r i N g a	Real
k a r i p a	Real
k a r i r i r a	Real
k a r u dz a	Real
k a r u k a	Real
k a r u r a	Real
k a r u t s a	Real
k a s a	Real
k a sh a m a	Real
k a sh a	Real
k a sh a r a r a	Real
k a sh u dz a	Real
k a sh u dz a	Real
k a sh u r a	Real
k a s i dz a	Real
k a s i k a	Real
k a s i r a	Real
k a sv a	Real
k a sv a	Real
k a sv a i r a	Real
k a sv a m i dz a	Real
k a sv i k a	Real
k a t a	Real
k a t a b s u r a	Real
k a t a i dz a	Real
k a t a i dz a	Real
k a t a i k a	Real
k a t a i k a	Real
k a t a i r a	Real
k a t a i r a	Real
k a t a k a dz a	Real
k a t a k a dz a	Real
k a t a k a s a	Real
k a t a k a zh a	Real
k a t a n a	Real
k a t a n u dz a	Real
k a t a n u r a	Real
k a t a r a	Real
k a t a z a	Real
k a t i t s a	Real
k a t s a	Real
k a t s i r a	Real
k a t s i r a	Real
k a t u k a	Real
k a t u k a	Real
k a t u r a	Real
k a t u r a	Real
k a t u t s a	Real
k a t u t s i r a	Real
k a t y a m a dz a	Real
k a t y a m a r a	Real
k a t y a r i k a	Real
k a t y i r a	Real
k a u n d a	Real
k a u r a	Real
k a u r i r a	Real
k a u r u r a	Real
k a v a	Real
k a v a	Real
k a v a i k a	Real
k a v a i r a	Real
k a v a N g a	Real
k a v a N g u r a	Real
k a v a n j u r a	Real
k a v a n z u r a	Real
k a v a r i dz a	Real
k a v a y i k a	Real
k a v a y i r a	Real
k a vh a N g a	Real
k a v i r a	Real
k a w a	Real
k a y a	Real
k a y a	Real
k a y a y i k a	Real
k a y i dz a	Real
k a z a	Real
k a z a i dz a	Real
k a z a i k a	Real
k a z a i r a	Real
k a zh u k a	Real
k a zh u r a	Real
k e b e t s a	Real
k e ch a n i dz a	Real
k e ch a n i s a	Real
k e d e dz a	Real
k e d e k a	Real
k e k e ch u dz a	Real
k e k e ch u r a	Real
k e k e d a	Real
k e k e d u dz a	Real
k e k e d u k a	Real
k e k e d u r a	Real
k e k e dz a	Real
k e k e r a	Real
k e k e r e dz a	Real
k e k e t y u dz a	Real
k e k e t y u k a	Real
k e k e t y u r a	Real
k e k e z a	Real
k e k e zh a	Real
k e m u r a	Real
k e n d e N g a	Real
k e N g a	Real
k e r a	Real
k e r e bv a r a	Real
k e r e bv u k a	Real
k e r e d e dz a	Real
k e r e k e dz a	Real
k e r e k e z a	Real
k e r u k a	Real
k e r u k a	Real
k e r u r a	Real
k e t a	Real
k e y a i r a	Real
k i b i t s a	Real
k i b r i dz a	Real
k i b r i k a	Real
k i g a	Real
k i k a	Real
k i k a	Real
k i k i r i t s a	Real
k i n d i k i dz a	Real
k i n u r a	Real
k i p u dz a	Real
k i p u k a	Real
